Grantor,Grantee,Grantee_Clean,Zip Code,Fiscal Year,Amount,Description,Category,Fiscal Period,Date
DEPARTMENT OF HEALTH & MENTAL HYGIENE/PREVENTION AND DISEASE CONTROL,Robert T. Freeman Dental Society Foundation,ROBERT T. FREEMAN DENTAL SOCIETY FOUNDATION,20770,2010,261142,DENTAL VAN,GRANT,1,06/30/2010 12:00:00 AM
DEPARTMENT OF AGRICULTURE/RESOURCE CONSERVATION GRANTS,ANNE ARUNDEL SOIL CONSERVATION DISTRICT,ANNE ARUNDEL SOIL CONSERVATION DISTRICT,21401,2017,73982,DISTRICT OPERATIONS,GRANT,1,06/30/2017 12:00:00 AM
DEPARTMENT OF HUMAN SERVICES/WORK OPPORTUNITIES PROGRAM,ANNE ARUNDEL WORKFORCE DEVELOPMENT CORP,ANNE ARUNDEL WORKFORCE DEVELOPMENT CORP,21108,2017,951499.14,FUNDS ARE USED TO PROVIDE EMPLOYMENT TRAINING AND SERVICES TO CUSTOMERS.,GRANT,1,06/30/2017 12:00:00 AM
DEPARTMENT OF BUSINESS AND ECONOMIC DEVELOPMENT/MARYLAND STATE ARTS COUNCIL,Creative Alliance,CREATIVE ALLIANCE,21231,2009,72570,GRANT FUNDING FOR ORGANIZATIONS AND COMMUNITY ARTS DEVELOPMENT PROGRAMS.,GRANT,1,06/30/2009 12:00:00 AM
MARYLAND STATE DEPARTMENT OF EDUCATION/STATE AIDED EDUCATIONAL INSTITUTIONS,PARKS & PEOPLE FOUNDATION,"PARKS & PEOPLE FOUNDATION, INC.",21217,2017,391043,STATE AIDED INSTITUTIONS,GRANT,1,06/30/2017 12:00:00 AM
BOARDS AND COMMISSIONS/GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION,Mid-Shore Council on Family Violence,MID-SHORE COUNCIL ON FAMILY VIOLENCE,21629-1064,2011,118808.01,VICTIM ASSISTANCE,GRANT,1,06/30/2011 12:00:00 AM
DEPARTMENT OF AGRICULTURE/RESOURCE CONSERVATION GRANTS,H WAYNE SAVAGE,H. WAYNE SAVAGE,217589410,2017,55947.42,NUTRIENT MANAGEMENT,GRANT,1,06/30/2017 12:00:00 AM
DEPARTMENT OF BUSINESS AND ECONOMIC DEVELOPMENT/ENTERPRISE INVESTMENT FUND,GOLD LASSO INC,GOLD LASSO INC,20877,2011,50000,ENTERPRISE INVESTMENT,LOAN,1,06/30/2011 12:00:00 AM
DEPARTMENT OF BUSINESS AND ECONOMIC DEVELOPMENT/OFFICE OF BUSINESS DEVELOPMENT,MID SHORE REGIONAL COUNCIL,MID-SHORE REGIONAL COUNCIL,21601,2013,106900,REGIONAL ECONOMIC DEVELOPMENT GRANT,GRANT,1,06/30/2013 12:00:00 AM
DEPARTMENT OF TRANSPORTATION/MARYLAND HIGHWAY SAFETY OFFICE,MARYLAND CHIEFS OF POLICE ASSOCIATION INC,MARYLAND CHIEFS OF POLICE ASSOCIATION INC,21046-2251,2014,88638,ALCOHOL IMPAIRED DRIVERS COUNTERMEASURE,GRANT,1,06/30/2014 12:00:00 AM
"EXECUTIVE DEPARTMENT - BOARDS, COMMISSIONS AND OFFICES/GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION","Baltimore Child Abuse Center, Inc.","BALTIMORE CHILD ABUSE CENTER, INC.",21218,2016,30319,SURVIVORS OF HOMICIDE GRANT,GRANT,1,06/30/2016 12:00:00 AM
DEPARTMENT OF BUSINESS AND ECONOMIC DEVELOPMENT - MARYLAND TOURISM BOARD,"Tourism Council of Frederick County, Inc.","TOURISM COUNCIL OF FREDERICK COUNTY, INC.",21701,2015,88973,MARYLAND TOURISM BOARD-GENERAL GRANT,GRANT,1,06/30/2015 12:00:00 AM
"MILITARY DEPARTMENT/MARYLAND MILITARY DEPT, MEMA",FAIRMOUNT VFC,FAIRMOUNT VFC,21867,2013,210000,VOLUNTEER CO. ASSISTANCE PROGRAM,GRANT,1,06/30/2013 12:00:00 AM
MARYLAND STATE DEPARTMENT OF EDUCATION/STATE AIDED EDUCATIONAL INSTITUTIONS,IMAGINATION STAGE INC,"IMAGINATION STAGE, INC.",20814,2017,238136,STATE AIDED INSTITUTIONS,GRANT,1,06/30/2017 12:00:00 AM
BOARDS AND COMMISSIONS - GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION,Center for Abused Persons,CENTER FOR ABUSED PERSONS,20601,2015,141253,VOCA VICTIM ASSISTANCE FORMULA GRANT PROGRAM,GRANT,1,06/30/2015 12:00:00 AM
JUDICIARY/DEPARTMENT OF FAMILY ADMINISTRATION,"YWCA of Annapolis & Anne Arundel County, Inc","YWCA OF ANNAPOLIS & ANNE ARUNDEL COUNTY, INC.",21012,2012,160000,LEGAL SERVICES FOR VICTIMS OF DOMESTIC VIOLENCE,GRANT,1,06/30/2012 12:00:00 AM
DEPARTMENT OF HEALTH AND MENTAL HYGIENE/MARYLAND COMMUNITY HEALTH RESOURCES COMMISSION,"Catholic Charities, Archdiocese of Washington",CATHOLIC CHARITIES,20001,2016,60000,EXPAND ACCESS TO HEALTH CARE IN UNDERSERVED COMMUNITIES,GRANT,1,06/30/2016 12:00:00 AM
MARYLAND DEPARTMENT OF EDUCATION/FOOD SERVICES PROGRAM,ST VINCENT DE PAUL OF BALTIMORE INC,"ST. VINCENT DE PAUL OF BALTIMORE, INC.",21218-5128,2012,625671.76,FOOD SERVICE-CHILD CARE,GRANT,1,06/30/2012 12:00:00 AM
MARYLAND STATE DEPARTMENT OF EDUCATION/CHILDREN'S CABINET INTERAGENCY FUND,CHARLES CO GOVERNMENT/ HUMAN SVC PARTNERSHIP,CHARLES CO GOVERNMENT/ HUMAN SVC PARTNERSHIP,20646,2011,252746,LMB ADMINISTRATION,GRANT,1,06/30/2011 12:00:00 AM
DEPARTMENT OF HOUSING AND COMMUNITY DEVELOPMENT/COMMUNITY LEGACY,Fells Point Development Corporation,FELLS POINT DEVELOPMENT CORPORATION,21231,2009,85000,PREDEVELOP & REHAB COSTS OF FELLS PT COMFORT STATION,GRANT,1,06/30/2009 12:00:00 AM
DEPARTMENT OF BUSINESS AND ECONOMIC DEVELOPMENT/MD ECONOMIC DEVELOPMENT ASSISTANCE AUTHORITY & FUND-MEDAAF -,1111 LIGHT STREET LLC,1111 LIGHT STREET LLC,21208,2012,120000,MD ECONOMIC DEVELOPMENT ASSISTANCE AUTHORITY & FUND,GRANT,1,06/30/2012 12:00:00 AM
DEPARTMENT OF HUMAN SERVICES/WORK OPPORTUNITIES PROGRAM & OFFICE OF GRANTS MANAGEMENT,"GARRETT COUNTY COMMUNITY ACTION COMMITTEE, INC","GARRETT COUNTY COMMUNITY ACTION COMMITTEE, INC.",21550,2017,56871.5,FUNDS ARE USED TO IMPROVE THE QUALITY OF LIFE FOR PEOPLE IN NEED BY EMPOWERING THEM TO BECOME MORE SELF-SUFFICIENT AND BY PROVIDING ESSENTIAL SERVICES IN COLLABORATION AND COOPERATION WITH PARTNERS.,GRANT,1,06/30/2017 12:00:00 AM
MARYLAND DEPARTMENT OF EDUCATION/FOOD SERVICES PROGRAM,NATIONAL CENTER FOR CHILDREN & FAMILIES,NATIONAL CENTER FOR CHILDREN & FAMILIES,20817-3368,2014,62339.63,CASH FOR COMMODITIES- CHILD CARE,GRANT,1,06/30/2014 12:00:00 AM
MARYLAND ENERGY ADMINISTRATION/ALTERNATIVE FUEL INFRASTRUCTURE PROGRAM,ChargePoint,CHARGEPOINT,95008,2017,450000,INSTALL ALTERNATIVE FUEL REFILLING/CHARGING STATION,GRANT,1,06/30/2017 12:00:00 AM
DEPARTMENT OF AGRICULTURE/CONSERVATION GRANTS,DAN K DULIN,DAN K. DULIN,21657,2016,95359.5,COVER CROP,GRANT,1,06/30/2016 12:00:00 AM
DEPARTMENT OF LABOR LICENSING AND REGULATION - DIVISION OF UNEMPLOYMENT INSURANCE,Center for Employment Security and Education Research,CENTER FOR EMPLOYMENT SECURITY AND EDUCATION RESEARCH,20001,2015,4082171.05,TO SHARE UNEMPLOYMENT INFORMATION TECHNOLOGY BEST PRACTICES AND TO FACILITATE THE APPROPRIATE APPLICATION OF INFORMATION TECHNOLOGY IN STATE,GRANT,1,06/30/2015 12:00:00 AM
MARYLAND DEPARTMENT OF EDUCATION/TRANSITIONAL EDUCATION FUNDING,JOHNS HOPKINS UNIV DBA FULFILLMENT SERVICE,JOHNS HOPKINS UNIV DBA FULFILLMENT SERVICE,21211-4370,2013,719065,HOYER GENERAL FUNDS,GRANT,1,06/30/2013 12:00:00 AM
MARYLAND DEPARTMENT OF EDUCATION/FOOD SERVICES PROGRAM,LEARNING TO BLOSSOM CHILDCARE LLC,LEARNING TO BLOSSOM CHILDCARE LLC,21202,2013,4546,CASH FOR COMMOD - CHILD CARE,GRANT,1,06/30/2013 12:00:00 AM
MARYLAND DEPARTMENT OF AGING/VEIP,"Upper Shore Aging, Inc.","UPPER SHORE AGING, INC.",21620,2017,10077,VULNERABLE ELDERLY,GRANT,1,06/30/2017 12:00:00 AM
DEPARTMENT OF HOUSING & COMMUNITY DEVELOPMENT/MULTIFAMILY ENERGY EFFICIENCY AND HOUSING AFFORDABILITY PROGRAM,"Homes for Perryville, LP","HOMES FOR PERRYVILLE, LP",21403,2010,295000,ENERGY EFFICIENCY ACTIVITIES/PRODUCTS,GRANT,1,06/30/2010 12:00:00 AM
"EXECUTIVE DEPARTMENT - BOARDS, COMMISSIONS AND OFFICES/GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION","HopeWorks of Howard County, Inc.","HOPEWORKS OF HOWARD COUNTY, INC.",21045,2016,4167,RAPE CRISIS INTERVENTION,GRANT,1,06/30/2016 12:00:00 AM
STATE DEPARTMENT OF EDUCATION/TRANSITIONAL EDUCATION FUNDING,PEPPERTREE CENTER INC,PEPPERTREE CENTERS INC,20874,2010,75000,HOYER,GRANT,1,06/30/2010 12:00:00 AM
DEPARTMENT OF NATURAL RESOURCES/RURAL LEGACY PROGRAM,The Nature Conservancy,THE NATURE CONSERVANCY,21625,2017,30453,"LONG, ARTHUR H FARM EASEMENT",GRANT,1,06/30/2017 12:00:00 AM
DEPARTMENT OF NATURAL RESOURCES/RURAL LEGACY PROGRAM,The Manor Conservancy,"THE MANOR CONSERVANCY, INC.",21111,2012,3958.38,JOHN & DORIAN FILBERT FARM EASEMENT,GRANT,1,06/30/2012 12:00:00 AM
CHILD WELFARE SERVICES,FAMILY LEAGUE OF BALTIMORE CITY INC,"FAMILY LEAGUE OF BALTIMORE CITY, INC.",21218,2018,3913220.16,FUNDS THE FAMILY PRESERVATION PROGRAM TO SHORTEN THE LENGTH OF STAY FOR FOSTER CARE OF YOUNG CHILDREN WHO ARE PLACED IN OUT-OF-HOME CARE FOR THE FIRST TIME.,GRANT,1,06/30/2018 12:00:00 AM
STATE DEPARTMENT OF EDUCATION/ASSISTANCE TO STATE FOR EDUCATING CHILDREN WITH DISABILITIES,MENTAL HEALTH ASSOCIATION TALBOT CO.,MENTAL HEALTH ASSOCIATION TALBOT CO.,21601,2016,110010,SPECIAL EDUCATION - GRANTS TO STATES,GRANT,1,06/30/2016 12:00:00 AM
DEPARTMENT OF HOUSING & COMMUNITY DEVELOPMENT/MULTIFAMILY ENERGY EFFICIENCY AND HOUSING AFFORDABILITY PROGRAM,"Monarch Mills, LP","MONARCH MILLS, LP",21201,2010,259315,ENERGY EFFICIENCY ACTIVITIES/PRODUCTS,GRANT,1,06/30/2010 12:00:00 AM
DEPARTMENT OF TRANSPORTATION/OPERATING GRANTS-IN-AID,Wicomico County,WICOMICO COUNTY,21803,2013,123121.82,MPO REQUIREMENTS,GRANT,1,06/30/2013 12:00:00 AM
MARYLAND DEPARTMENT OF TRANSPORTATION - OPERATING GRANTS-IN-AID,Wicomico County Metropolitan Planning Organization,WICOMICO COUNTY METROPOLITAN PLANNING ORGANIZATION,21803 - 0870,2015,121308.29,MPO REQUIREMENTS,GRANT,1,06/30/2015 12:00:00 AM
GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION,"Life Crisis Center, Inc.","LIFE CRISIS CENTER, INC.",21803,2018,89101.08,SEXUAL ASSAULT RAPE CRISIS,GRANT,1,06/30/2018 12:00:00 AM
MARYLAND DEPARTMENT OF AGING/STATE NUTRITION,Human  Resources  Development Commission of Allegany County,HUMAN RESOURCES DEVELOPMENT COMMISSION OF ALLEGANY COUNTY,21502,2017,56985,NUTRITION,GRANT,1,06/30/2017 12:00:00 AM
DEPARTMENT OF TRANSPORTATION/AIRPORT FACILITIES AND CAPITAL EQUIP.,BAUSERMAN SERVICES INC Total,BAUSERMAN SERVICES INC,20640-3201,2011,80550.72,STATEWIDE AVIATION GRANT PROGRAM,GRANT,1,06/30/2011 12:00:00 AM
PREVENTION AND HEALTH PROMOTION ADMINISTRATION,University of Maryland Baltimore Campus,UNIVERSITY OF MARYLAND BALTIMORE CAMPUS,21201,2018,224593,MEDICAL GENETICS & SYSTEMS DEVELOPMENT,GRANT,1,06/30/2018 12:00:00 AM
DEPARTMENT OF HUMAN SERVICES/FAMILY INVESTMENT ADMINISTRATION,BENEFITS DATA TRUST,BENEFITS DATA TRUST,19103,2017,287711.88,"FUNDS ARE USED TO PROVIDE FOOD SUPPLEMENT OUTREACH PROGRAMS THAT PROVIDES MONTHLY BENEFITS TO ELIGIBLE LOW-INCOME INDIVIDUALS AND FAMILIES TO HELP THEM PURCHASE FOOD, PROVIDE NUTRITIONAL EDUCATION, PRE-SCREENING, APPLICATION ASSISTANCE AND FOLLOW-UP.",GRANT,1,06/30/2017 12:00:00 AM
LOW AND MODERATE INCOME (LMI) COMMUNITY GRANTS,Wicomico County Housing Authority,WICOMICO COUNTY HOUSING AUTHORITY,21801,2018,175000,GRANTS TO NON-PROFITS AND LOCAL GOVERNMENTS SERVING LOW AND MODERATE INCOME (LMI) MARYLANDERS.,GRANT,1,06/30/2018 12:00:00 AM
GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION,Family & Children's Services of Central MD,FAMILY & CHILDREN'S SERVICES OF CENTRAL MARYLAND,21209,2018,1007708.27,VICTIMS OF CRIME ACT (VOCA) VICTIM ASSISTANCE FORMULA GRANT PROGRAM,GRANT,1,06/30/2018 12:00:00 AM
JUDICIARY/DEPARTMENT OF FAMILY ADMINISTRATION,"Court Appointed Special Advocate (CASA)/Prince George's County, Inc.","COURT APPOINTED SPECIAL ADVOCATE (CASA) - PRINCE GEORGE'S COUNTY, INC.",20782,2011,113370.64,ADVOCACY FOR CHILDREN IN FOSTER CARE,GRANT,1,06/30/2011 12:00:00 AM
DEPARTMENT OF TRANSPORTATION/AIRPORT FACILITIES AND CAPITAL EQUIPMENT,American Infrastructure,AMERICAN INFRASTRUCTURE,19490,2010,176000,SITE DEVELOPMENT GRANT,GRANT,1,06/30/2010 12:00:00 AM
DEPARTMENT OF AGING/STATE NUTRITION,"MAC, Inc.","MAC, INC.",21804,2014,210328,MEALS FOR SENIORS,GRANT,1,06/30/2014 12:00:00 AM
MARYLAND STATE DEPARTMENT OF EDUCATION/CHILDREN AT RISK,"U.S. DREAM ACADEMY, INC.","U.S. DREAM ACADEMY, INC.",21044,2017,258522,21ST CENTURY COMMUNITY LEARNING CENTERS,GRANT,1,06/30/2017 12:00:00 AM
DEPARTMENT OF AGRICULTURE/COVER CROP,CECIL H GANNON & SONS INC,"CECIL H. GANNON & SONS, INC.",21601,2013,81097.5,COVER CROP GRANT-COMMODITY,GRANT,1,06/30/2013 12:00:00 AM
DEPARTMENT OF BUSINESS AND ECONOMIC DEVELOPMENT/MARYLAND ENTERPRISE INVESTMENT FUND,OPTORO INC,OPTORO INC,20706,2012,349999.46,ENTERPRISE FUND EQUITY INVESTMENT,LOAN,1,06/30/2012 12:00:00 AM
MARYLAND DEPARTMENT OF EDUCATION/FOOD SERVICES PROGRAM,ARCHDIOCESE OF BALTIMORE CHILD NUTRITION OFFICE,ARCHDIOCESE OF BALTIMORE,21227,2012,13276.57,FOOD SERVICE PROGRAMS,GRANT,1,06/30/2012 12:00:00 AM
MARYLAND DEPARTMENT OF EDUCATION/FOOD SERVICES PROGRAM,CHINESE CULTURE & COMMUNITY SERVICE CTR INC,CHINESE CULTURE & COMMUNITY SERVICE CENTER,20877,2014,346578.87,CASH FOR COMMODITIES- CHILD CARE,GRANT,1,06/30/2014 12:00:00 AM
DEPARTMENT OF AGRICULTURE/RESOURCE CONSERVATION GRANTS,HUTCHISON BROTHERS,HUTCHISON BROTHERS,216252357,2017,72265,COVER CROP,GRANT,1,06/30/2017 12:00:00 AM
BOARDS AND COMMISSIONS - GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION,Domestic Violence Sexual Assault Resource Center (Dove Center),DOMESTIC VIOLENCE SEXUAL ASSAULT RESOURCE CENTER (DOVE CENTER),21550,2015,143729.98,DOMESTIC VIOLENCE PREVENTION,GRANT,1,06/30/2015 12:00:00 AM
DEPARTMENT OF BUSINESS AND ECONOMIC DEVELOPMENT/MARYLAND ENTERPRISE INVESTMENT FUND,THERANOSTICS HEALTH INC,THERANOSTICS HEALTH INC,208506365,2012,50000,ENTERPRISE FUND EQUITY INVESTMENT,LOAN,1,06/30/2012 12:00:00 AM
JUDICIARY/DEPARTMENT OF FAMILY ADMINISTRATION,Court Appointed Special Advocate (CASA) of Harford County,COURT APPOINTED SPECIAL ADVOCATE (CASA) OF HARFORD COUNTY,21014,2011,67081.32,ADVOCACY FOR CHILDREN IN FOSTER CARE,GRANT,1,06/30/2011 12:00:00 AM
COMMERCE/MARYLAND TOURISM BOARD,TOURISM COUNCIL OF FREDERICK COUNTY INC,"TOURISM COUNCIL OF FREDERICK COUNTY, INC.",21701,2017,116708,MARYLAND TOURISM BOARD GRANT,GRANT,1,06/30/2017 12:00:00 AM
GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION,"Fusion Partnerships, Inc.","FUSION PARTNERSHIPS, INC.",21202,2018,19654.8,VICTIMS OF CRIME ACT (VOCA) VICTIM ASSISTANCE FORMULA GRANT PROGRAM,GRANT,1,06/30/2018 12:00:00 AM
"MILITARY DEPARTMENT /MARYLAND MILITARY DEPT., MEMA",Wheaton Volunteer Rescue Squad,WHEATON VOLUNTEER RESCUE SQUAD,20902,2016,600000,VOLUNTEER COMPANY ASSISTANCE FUND,LOAN,1,06/30/2016 12:00:00 AM
OFFSHORE WIND BUSINESS DEVELOPMENT,Martin Holdings,MARTIN HOLDINGS,21842,2018,375000,"FINANCIAL ASSISTANCE, BUSINESS DEVELOPMENT ASSISTANCE AND EMPLOYEE TRAINING PROGRAM FOR THE BENEFIT OF BUSINESSES IN THE EMERGING MD OFFSHORE WIND INDUSTRY",GRANT,1,06/30/2018 12:00:00 AM
GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION,Domestic Violence Sexual Assault Resource Center (Dove Center),DOMESTIC VIOLENCE SEXUAL ASSAULT RESOURCE CENTER (DOVE CENTER),21550,2018,4167,REIMBURSABLE FUNDS FROM MDH FOR SEXUAL ASSAULT/RAPE CRISIS GRANT PROGRAM (SARC) - RAPE CRISIS INTERVENTION,GRANT,1,06/30/2018 12:00:00 AM
MD STATE ARTS COUNCIL,MARYLAND SYMPHONY ORCHESTRA,MARYLAND SYMPHONY ORCHESTRA,21740,2018,107005,MD STATE ARTS COUNCIL GRANTS FOR ORGANIZATIONS (OPERATING SUPPORT),GRANT,1,06/30/2018 12:00:00 AM
JUDICIARY/BALTIMORE COUNTY POARP,Women's Law Center,"WOMEN'S LAW CENTER OF MARYLAND, INC.",21204,2010,88445,LEGAL SERVICES FOR VICTIMS OF DOMESTIC VIOLENCE,GRANT,1,06/30/2010 12:00:00 AM
GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION,"Family Crisis Resource Center, Inc.",FAMILY CRISIS RESOURCE CENTER,21502,2018,53900.41,SERVICE*TRAINING*OFFICERS*PROSECUTORS (STOP) VIOLENCE AGAINST WOMEN FORMULA GRANT PROGRAM,GRANT,1,06/30/2018 12:00:00 AM
DEPARTMENT OF BUSINESS AND ECONOMIC DEVELOPMENT/MILITARY PERSONNEL & SERVICE-DISABLED VETERAN NO INTEREST LOAN PGM,VILLAGE FAMILY DENTAL SPAA LLC,VILLAGE FAMILY DENTAL SPAA LLC,206022191,2013,50000,MILITARY PERSONNEL & SERVICE-DISABLED VETERAN NO INTEREST LOAN PGM,L,1,06/30/2013 12:00:00 AM
DEPARTMENT OF AGRICULTURE/CONSERVATION GRANTS,M WAYNE HOLLAND,WAYNE M HOLLAND,21851,2016,62145,COVER CROP COMMODITY,GRANT,1,06/30/2016 12:00:00 AM
BOARDS AND COMMISSIONS/GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION,Domestic Violence Sexual Assault Resource Center (Dove Center),DOMESTIC VIOLENCE SEXUAL ASSAULT RESOURCE CENTER (DOVE CENTER),21550-1165,2011,40242.5,COMPREHENSIVE SERVICES,GRANT,1,06/30/2011 12:00:00 AM
DEPARTMENT OF BUSINESS AND ECONOMIC DEVELOPMENT/MARYLAND TOURISM DEVELOPMENT BOARD,TOURISM COUNCIL OF FREDERICK COUNTY INC,"TOURISM COUNCIL OF FREDERICK COUNTY, INC.",21701,2011,100673,COOPERATIVE MARKETING GRANT PROGRAM,GRANT,1,06/30/2011 12:00:00 AM
STATE DEPARTMENT OF EDUCATION/ASSISTANCE TO STATE FOR EDUCATING CHILDREN WITH DISABILITIES,UNIVERSITY OF MARYLAND OFF OF THE COMPTROLLER,UNIVERSITY OF MARYLAND OFF OF THE COMPTROLLER,207423141,2016,137291,SPECIAL EDUCATION - GRANTS FOR INFANTS AND FAMILIES WITH DISABILITIES,GRANT,1,06/30/2016 12:00:00 AM
DEPARTMENT OF TRANSPORTATION/OPERATING GRANTS-IN-AID,ALLEGANY COUNTY COMMISSIO,ALLEGANY COUNTY COMMISSIONERS,21502-3401,2012,86324,MPO REQUIREMENTS,GRANT,1,06/30/2012 12:00:00 AM
MORGAN STATE UNIVERSITY/RESEARCH,Virginia Polytechnic Institute,VIRGINIA POLYTECHNIC INSTITUTE,24060,2010,115251,SOFTWARE TESTING AND EVALUATION,GRANT,1,06/30/2010 12:00:00 AM
DEPARTMENT OF HUMAN RESOURCES/OFFICE OF GRANTS MANAGEMENT,"Sexual Assault/Spouse Abuse Resource Center, Inc .","SEXUAL ASSAULT/SPOUSE ABUSE RESOURCE CENTER, INC. (SARC)",21014,2011,450170.98,"FUNDS ARE USED TO PROVIDES SERVICES TO VICTIMS OF CRIME, DOMESTIC VIOLENCE, RAPE AND SEXUAL ASSAULT  AS WELL AS PROVIDE AWARENESS AND PREVENTION ABOUT SEXUAL ASSAULTS.",GRANT,1,06/30/2011 12:00:00 AM
DIVISION OF EARLY CHILDHOOD DEVELOPMENT,MARYLAND BUSINESS ROUNDTABLE FOR EDUCATION,"MARYLAND BUSINESS ROUNDTABLE FOR EDUCATION, INC.",21228,2018,161723,CHILD CARE AND DEVELOPMENT FUND (CCDF) BLOCK GRANT - DISCRETIONARY,GRANT,1,06/30/2018 12:00:00 AM
JUDICIARY/MEDIATION AND CONFLICT RESOLUTION OFFICE,Community Mediation Maryland,COMMUNITY MEDIATION MARYLAND,20912,2016,329800,"FUNDING TO SUPPORT THE WORK OF PROVIDING TRAINING, TECHNICAL ASSISTANCE, EVALUATION, RESOURCE DEVELOPMENT, MARKETING, AND PARTNERSHIP DEVELOPMENT FOR NEW AND EXISTING COMMUNITY MEDIATION PROGRAMS IN MARYLAND. CREATE FOUR TRAINING VIDEOS DEMONSTRATING BEST PRACTICES FOR USING INCLUSIVE MEDIATION IN STANDARD MEDIATION, A PARENTING PLAN MEDIATION, A RE-ENTRY MEDIATION, AND AN ATTENDANCE MEDIATION.  THE VIDEOS WILL BE USED FOR TRAINING COMMUNITY MEDIATORS THROUGHOUT MARYLAND. ALSO SERVED AS FISCAL AGENT  FOR GRANT TO TRI COMMUNITY MEDIATION CENTER. COMMUNITY MEDIATION PERFORMANCE FUNDING AT LEVEL 4 FOR THE PURPOSE OF OPERATING THE CENTER ACCORDING THE 10-POINT MODEL OF COMMUNITY MEDIATION.",GRANT,1,06/30/2016 12:00:00 AM
STATE DEPARTMENT OF EDUCATION/DIVISION OF EARLY CHILDHOOD DEVELOPMENT,MARYLAND FAMILY NETWORK,"MARYLAND FAMILY NETWORK, INC.",212024364,2016,5350058,EARLY CHILDHOOD DEVELOPMENT,GRANT,1,06/30/2016 12:00:00 AM
MD AFFORDABLE HOUSING TRUST,HABITAT FOR HUMANITY SUSQUEHANNA INC,"HABITAT FOR HUMANITY SUSQUEHANNA, INC.",21014,2018,75000,MD AFFORDABLE HOUSING TRUST,GRANT,1,06/30/2018 12:00:00 AM
MARYLAND DEPARTMENT OF EDUCATION/TRANSITIONAL EDUCATION FUNDING PROGRAM,CHILDRENS CENTER GROUP AT WALKERSVILLE,CHILDREN'S CENTER OF WALKERSVILLE LLC,21793,2012,86486,HOYER PROGRAM DEVELOPMENT,GRANT,1,06/30/2012 12:00:00 AM
BOARDS AND COMMISSIONS/VIOLENCE AGAINST WOMEN,"Sinai Hospital of Baltimore, Inc.","SINAI HOSPITAL OF BALTIMORE, INC.",21215,2013,119818.88,GROUP INTERVENTION AND CRISIS RESPONSE SERVICES,GRANT,1,06/30/2013 12:00:00 AM
DEPARTMENT OF HOUSING AND COMMUNITY DEVELOPMENT/HOUSING COUNSELING - STATE FUNDS,Maryland Rural Development Corp,MARYLAND RURAL DEVELOPMENT CORP,21403,2014,60800,FORECLOSURE/HOUSING COUNSELING ACTIVITIES,GRANT,1,06/30/2014 12:00:00 AM
DEPARTMENT OF HUMAN RESOURCES/CHILD WELFARE SERVICES,FAMILY LEAGUE OF BALTIMORE CITY INC,"FAMILY LEAGUE OF BALTIMORE CITY, INC.",21218,2014,2297872,"FUNDS ARE USED FOR THE FAMILY PRESERVATION PROGRAM TO SHORTEN THE LENGTH OF STAY FOR FOSTER CARE OF CHILDREN BETWEEN THE AGE OF ZERO AND 5 YEARS  WHO ARE PLACED IN OUT-OF-HOME  CARE FOR THE FIRST TIME.  PARENTS ARE PROVIDED WITH INTENSIVE CASE MANAGEMENT AND SUPPORT SERVICES, SUBSTANCE ABUSE TREATMENT. FREQUENT OVERSIGHT IS PROVIDED BY THE JUVENILE COURT.",GRANT,1,06/30/2014 12:00:00 AM
BOARDS AND COMMISSIONS - GOVERNOR'S OFFICE OF CRIME CONTROL AND PREVENTION,Howard County General Hospital,HOWARD COUNTY GENERAL HOSPITAL,21044,2015,9221.76,VIOLENCE AGAINST WOMEN,GRANT,1,06/30/2015 12:00:00 AM
DEPARTMENT OF AGRICULTURE/MARYLAND AGRICULTURAL LAND PRESERVATION FOUNDATION,Janice Stanley,JANICE STANLEY,21655,2009,671220,PURCHASE DEVELOPMENT RIGHTS EASEMENT ON FARM,GRANT,1,06/30/2009 12:00:00 AM
DEPARTMENT OF BUSINESS AND ECONOMIC DEVELOPMENT/MARYLAND STATE ARTS COUNCIL,STRATHMORE HALL FOUNDATION INC,"STRATHMORE HALL FOUNDATION, INC.",20852-3385,2014,579432,MD STATE ARTS COUNCIL GRANTS FOR ORGANIZATIONS (OPERATING SUPPORT),GRANT,1,06/30/2014 12:00:00 AM
DIVISION OF EARLY CHILDHOOD DEVELOPMENT,CHESAPEAKE COLLEGE,CHESAPEAKE COLLEGE,21679,2018,226480,RACE TO THE TOP EARLY LEARNING CHALLENGE,GRANT,1,06/30/2018 12:00:00 AM
MARYLAND STATE DEPARTMENT OF EDUCATION - EARLY CHILDHOOD PRESCHOOL SPECIAL ED PGM,Alef Bet Montessori School,ALEF BET MONTESSORI SCHOOL,20814,2015,112000,PREKINDERGARTEN EXPANSION PROGRAM,GRANT,1,06/30/2015 12:00:00 AM
